text,label
Долгая загрузка интерфейса Ссылка на клиента Описание При отправке подряд нескольких писем виджет начинает долго подгружать интерфейс отправки писем Помогает перезагрузка страницы те отправил одно письмо перезагрузил страницу отправил следующее и так далее Если не делать перезагрузку то выглядит так и может бесконечно так висеть Ошибки в консоли Вот этот сайт не грузиться и висит в ошибках Ошибка в Почистила кеш на странице какбудто чуть быстрее стало подгружаться но только на первый раз Обращение .,front
не подтянулось название компании в письмо Ссылка на проблему письмо с Ссылка на клиента Описание проблемы Не определилось название компании в исходящем письме подставилась подпись Письма ушли с разницей в минут с одной сделки на один в одном письме подгрузилось в другом нет название компании не меняли у ответственного сотрудник нет прав редактировать компании .,front
Баг в настройке автоматической отправки Ссылка на проблему Ссылка на клиента Ссылка на обращение Описание проблемы При копировании настройки автоматической отправки клиент получает такой баг и По словам клиента если сохранить так то уходят дубли У клиента сегодня эти задвоения повторились и при копировании и при создании новых Прислал видео Проблема очень срочная так как они очень много писем в автоматическом режиме отправляют и ему надо иметь возможность настроить и запустить рассылку Воспроизвела у себя только задвоение в настройках По раза письма не уходят .,front
Не подгружается документ Ссылка на проблему Ссылка на клиента Описание Не загружается вложение локально на компьютере Пробовали в хроме яндекс браузере В хроме все расширения отключены не заблокированы В режиме инкогнито и там .,front
и там подгрузилось в обычном нет Вот так висит бесконечно Если очистить кеш сразу после этого загружается при повторном открытии опять не грузиться Это с хрома с консоли Это с яндекса Клиент У меня все открывается Что проверить еще можно .,front
Отображение инфы Ссылка на шаблон На письмо Ссылка на клиента Описание проблемы В условия в указано поставить задачу через день в письме через часа и день Не обращайте внимание на квадрат Илья .,front
не работает автозаполняемое поле Битрикс Ссылка на клиента Описание проблемы Не подтягивается стандартное поле из битрикса Название компании Пробовала Компания Названиекомпании не работает Причем поле Название лида прекрасно подтягивается Сейчас клиенту оставили с полем Название лида У себя проверяла это поле тоже не работает .,front
Автозаполняемые поля в Битриксе Ссылка на клиента Описание проблемы ая проблема не подтягивается значение из поля Название компании Поле заполнено Пока сделали кастомное поле Компания оно подтягивается ая проблема в карточке не заполнено фио клиента При первом письме отобразился пробел при втором подставился шаблон автозаполняемого поля Должен быть пробел если поле в не заполнено Ссылка на письма Пробел Автозаполн поле .,front
не работают спец символы в пароле в партнерке В партнерке не поддерживаются спец символы в пароле при регистрации нового аккаунта для клиента .,front
в виджете битрикс Пишет вместо дней судя по всему Страница где у меня воспроизводится на первом письме .,front
Интерфейс партнерки Поправить вывод списка пользователй этот список должен совпадать с ответственных в списке Предлагаю сделать имя если имя есть и если имени нет .,front
долго загружается отправка письма в битрикс Потому что из интерфейса списка писем уходит большое количество запросов на получение тех самых писем Пример запроса  Акк .,front
После переименования пропал текст в шаблоне Ссылка на клиента Ссылка на шаблон И второй шаблон Описание Клиент вчера поменял название шаблона убрал интервал и нажал сохранить Сегодня зашел в шаблон и увидел что нет текста в теле .,front
письма Зашла к клиенту в личный кабинет текста нет Говорит это происходит уже второй раз У меня не получилось воспроизвести это Обращение .,front
ПРОВЕРИТЬ При открытии нового письма в карточке с одним ом он не подставляется автоматически в видимо только В маке при создании письма если в карточке один то он не подставляется а должен этот интерфейс .,front
При открытии ссылки в уведомлениях не отображается фио клиента Смогли ли мы воспроизвести проблему на своём компьютере Да Страница проблемы уведомления при открытии ссылки Ссылка на клиента Браузер и Операционная система не имеет значения Ошибки в консоли Ошибки в запросах Подробное описание проблемы При открытии ссылки созданной в сделке не отображается фио клиента .,front
Не меняется документ при смене документа на странице управления трансляцией Ну собственно подключаемся к трансляции меняем док на другой и все идет по пизде В принципе воспроизвести все это можно вызвав на клиенте в консоли метод  .,front
Что важно В первый раз обрабатывает с ошибкой во второй корректно в третий снова с ошибкой То есть каждый нечетный с ошибкой призываю твою силу может ты увидишь в чем магия Тесть проще всего на или на лучше даже поскольку .,front
там файлы будут не минимизированные Локально эта жопа не работает вообще .,front
При нажатии Ответить через кавычки заменяются на  Смогли ли мы воспроизвести проблему на своём компьютере Страница проблемы Ссылка на клиента Браузер и Операционная система Ошибки в консоли Ошибки в запросах Подробное описание проблемы Пользователь нажимает на свое письмо затем на Ответить через и уже после отправки видит что в теме письма вместо кавычек отображаются  .,front
Едет верстка вложенных документов Смогли ли мы воспроизвести проблему на своём компьютере Да мои данные Страница проблемы Ссылка на клиента Браузер и Операционная система браузер Подробное описание проблемы В почте .,front
у вложенных документов едет верстка в яндекс почте не подгружается информация в кнопках и самом вложении почта яндекс .,front
Ссылка на подключения к клиенту Ссылка на проблему Ссылка на письмо Ссылка на клиента Описание Клиенту пришло оповещение что его кп смотрят и кнопка показывает Подключайся когда открывает пишет что клиент не подключен Статистику не показывает Ссылка на обращение .,front
в новой админке ссылка на оплату генерится не на тот аккаунт который выбран При выборе клиента и клике на генерацию ссылки выбирается почемуто последний аккаунт в списке Ошибка была на этой команде но так же возникает и в любой другойНе работают ссылки в приглашениях Смогли ли мы воспроизвести проблему на своём компьютере нет Страница проблемы Ссылка на клиента Браузер и Операционная система Битрикс Ошибки в консоли Ошибки в запросах Подробное описание проблемы Пытались его пригласить в команду из шаблона и выпадала ошибка при регистрации после перехода по ссылке из письма Без приглашалки зарегистрировалось нормально .,front
Удалить интеграцию Ссылка на клиента Описание В ноябре они перешли на Битрикс из  удалили виджет в  но клиент говорт что  в настройках вашей системы до сих пор показывается информация что интеграция с Амо работае  виджет из удален  Фактически в брошенном акк Амо продолжает работать интеграция то есть ставяться задачи по недавно открытым письмам письма отправляются из Битрикс но задачи которые ставятся менеджеру по открытии письма прилетают и в Битрикс и в Амо Пример Письмо отправлено из Битрикса  задача в Надо удалить интеграцию с  а не письма которые были отправлены из Обращение.,back 
Отображение ИО в поле кому Битрикс Ссылка на клиента Описание Если в контакте указно только Имя и отчество клиента то при отправки письма через  ИО меняется местами отчество первое потом имя Так происходит со всеми именами и отчествами Проверила у меня также работает Обращение.,back 
Разница в старых и новых шаблонах От Жени логика непонятно как отрабатывает и действия в одном и том же шаблоне отображаются разные если смотреть на старый и новый интерфейс одновременно тут какому интерфейсу верить Это наблюдается на аккаунте.,back 
Баги по новым шаблонам.,back 

Нет кнопки удалить интегрцию Страница клиента В личном кабинете аккаунта нет кнопки удалить интеграцию Этой кнопки.,back 
Не отображаются выставленные счета в виджете Подробное описание проблемы У всех пользователей клиента не отображаются выставленные через нас счета в виджете на странице Скриншот проблемы Карточка пользователя в админке Ссылка на клиента в  Ссылка на обращение.,back 
Осободить почту для регистрации Необходимо освободить почту для регистрации тк регались на нее потом поменяли почту на другую и ее сейчас используют.,back 
Имя и Фамилия при автозаполняемом поле Имя в Подробное описание проблемы При отправке писем стало подтягиваться полностью имя и фамилия в шаблон вместо имени Ранее автоматом определялось где имя где фамилия и подставлялось в качетстве переменной только имя Скриншот проблемы.,back 
Не работает страница статистки Страница проблемы Ссылка на клиента Не работает страница статистики не переключаются вкладки.,back 
Не удаётся войти в виджет в Подробное описание проблемы У некоторых пользователей не удаётся войти в наш виджет в Скриншот проблемы Какие действия для решения проблемы производились Очистка кэша и жёсткая перезагрузка на сайте Амо и с перелогином Браузер и Операционная система  Ошибки в консоли                                 Карточка пользователя в админке Ссылка на клиента в  Номер телефона.,back 
Не распечатывается документ Страница проблемы Ссылка на клиента Ссылка в Ссылка на обращение Подробное описание проблемы Документ не распечатывается.,back 
Не отображается текст письма в карточке клиента Ссылка на письмо Ссылка на клиента Ссылка на обращение В  в карточке клиента не отображается весь текст отправляемого письма.,back 
Заблокировать доступ к файлу Надо заблокировать доступ к файлу Клиент Больше писем отправлены с по сентября.,back 
Письмо не было доставленоотображается в открытых Страница проблемы Ссылка на клиента Подробное описание проблемы Письмо не было доставлено получателю так как пришел ответ от сервера но при этом в разделе письма оно в открытых По вебхукам вижу что письмо открывали.,back 
Не правильно отображается статус писем все  кроме х писем отправленные вчера в статусе запланировано в админке вижу что письма отправлено Также у него в потовом ящике в яндексе они в отправленных Страница проблемы Ссылка на клиента ссылки на письма.,back 
Не правильное название шаблона в разделе статистика Ссылка на письмо в админке Ссылка на страницу проблемы Ссылка на клиента Клиент в Отправила письмо Без Шаблона в разделе Сделки с поставленной задачей за сегодня по пользователю  Шаблон называется Выставление счета Александра.,back 
не работает перемещение по воронке по звонку Страница письма Страница шаблона Ссылка на клиента Подробное описание проблемы Не работает движение по воронке после звонка Настройки воронки есть Вебхука на звонок нет Исходящие есть но дальше не передвинулась сделка Роман.,back 
Не сходится статистика Страница проблемы Страница Ссылка на клиента Клиент в Подробное описание проблемы На странице статистики на менеджере стоит задач на сегодня  если перейти по ПОСМОТРЕТЬ показывает что было создано задачи если нажать Список сделок там задач Это клиент у которой проблемы с часовым поясом Александра.,back 
В админке не всегда отображаются вебхуки в статистике по письму Это мешает техподдержке выяснять причины Например письмо Там чувак подписан кастомно на вебхуки своя интеграция Они в базе есть но не отображаем Запрос при этом их возвращает с бека.,back 
Не работает меню молния Не входит в меню молния Пишет ошибку и бесконечно грузится Ошибка не только у этого клиента так что звонить не надо Достаточно авторизоваться под этим пользователем И вот так там выглядит Запрос возвращает.,back 
Верстка в карточке письма в карточке амо Если по клиенту зайти в письмо с актом от го сентября то увидим вот это.,back 
Не отображается полная информация по отправленным письмам Подробное описание проблемы У некоторых пользователей не отображается в информации об отправленном письме полная информация например вебхуки воронки и прочие настройки Страница проблемы Скриншот проблемы Нельзя прокрутить ниже Ошибки в консоли    Скриншот ошибок в консоли Карточка пользователя в админке Ссылка на клиента в  Срочность проблемы Клиент сможет созвониться по этому вопросу только к понедельнику наберут сами.,back 
Не корректно отображаются данные в статистике.,back 
Не интегрируется почта Клиент Клиент не может интегрировать новую почту так как пишет что или пароль неверные проверили с ним эти пункта все правильно И он заходит с этим паролем в почту Проверила настройки для домена с галкой подходят все остальные нет Клиент с этой проблемой.,back 
Не работает автотправка Страница проблемы В админке нет данных Ссылка на клиента Подробное описание проблемы Автоотправка должна срабатывать когда приходит заявка с этого сайта Автоотправка настоенна Письма вручную отправляются с личного кабинета и виджета.,back 
По шаблону не корректно считается статистика Статистика по шаблону за все время    В статистике показывает открытий за все время А в новой статистике которая общая показывает и по базе показывает.,back 
Нужно найти в коде а почему так.,back 
Некорректная постановка задач От нашего сотрудника контроля качества Информация от клиента Посмотрите пожалуйста насколько корректно считается просрочка по заданиям Связаться с клиентом в случае когда они ставятся нашим.,back 
сервисом при совершениине совершении клиентом целевого действия Пример Доп письмо было отправлено  а в в зафиксировалась просрочка аж   Если задача ставится в выходной день то в просрочку это время попадать не должно.,back 
Ссылка на обращение.,back 
Опечаткинебольшие баги в интерфейсе Опечаткинебольшие баги в интерфейсе отмеченные пользователями  Опечатка   Опечатка   Опечатка  В виджете в НастройкиУведомление Молния ошибка в написании слова пол часа Пишется слитно  При нажатии на открывает несуществующую страницу.,back 
Ошибка при загрузке документа Смогли ли мы воспроизвести проблему на своём компьютере Да Страница проблемы У всех Ссылка на клиента Браузер и Операционная система Ошибки в консоли Ошибки в запросах  Подробное описание проблемы открыть шаблон загрузить новый документ далее показывает успех при нажатии на загруженный файл показывает ошибку.,back 
Не ставятся комментарии Смогли ли мы воспроизвести проблему на своём компьютеренет Страница проблемы Ссылка на клиента Браузер и Операционная система Ошибки в консоли Ошибки в запросах  Подробное описание проблемы Была открыта ссылка комментарии в аккаунте включены комментария в сделке нет письмо Почему не было комментария.,back 
Уведомление Смогли ли мы воспроизвести проблему на своём компьютере Страница проблемы Ссылка на клиента Браузер и Операционная система Ошибки в консоли Ошибки в запросах  Подробное описание проблемы Уведомление об открытии вложения пришло на номер номер того кто настраивал в аккаунте другой номер.,back 
Автоматически письма отправляются с непонятного адреса Смогли ли мы воспроизвести проблему на своём компьютере Страница проблемы Ссылка на клиента Браузер и Операционная система Ошибки в консоли Ошибки в запросах  Подробное описание проблемы Ответственный в амо имеет адрес  они настроили отправку письма на этапе и авторизовали в виджете под этим аккаунтом чтобы письма отправлялись с нужного адреса Но письма отправляются с других адресов с  а когда.,back 
я начала тестировать сама адрес поменялся на Пример письма Пользователь просил разобраться как можно скорее потому что у него вочереди писем которые не отправляются.,back 
Медленно открываются презентации Смогли ли мы воспроизвести проблему на своём компьютере Нет Страница проблемы Ссылка на клиента Браузер и Операционная система Не имеет значения Ошибки в консоли Ошибки в запросах  Подробное описание проблемы Проблема только на этом компьютере При нажатии на ссылку Пример письма.,back 
Не отправляется через робота Подробное описание проблемы При настройке автописем в Битрикс через робота возникает проблема с неотправкой письма стоит условия на наличие значения в кастомном поле клиента значение каталог Напрямую.,back 
письма отправляются Скриншоты проблемы Во вложении Номер телефона Если нужны подробности то не звонить клиент в роуминге Переписывался с ним в телеграме Карточка пользователя в админке Ссылка на клиента в .,back 
Скайп клиента.,back 
Битые ссылки при переходе по статистике просмотра вложения Обратились уже клиента с одинаковой проблемой при появлении всплывающего окна с информацией  что клиент закончил просмотр и нажатию на это окно ссылка битая не могут.,back 
найти что это был за клиент теряют деньги клиент Ссылка на обращение клиент ссылка на обращение.,back 
Не отправились письма Смогли ли мы воспроизвести проблему на своём компьютере Страница проблемы Ссылка на клиента Браузер и Операционная система Ошибки в консоли Ошибки в запросах  Подробное описание проблемы К сожалению мы не.,back 
смогли отправить автоматическое письмо из сделкиконтакта и это письмо нужно будет отправить вручную .,back 
В разделе Письма не работает поиск по фио Смогли ли мы воспроизвести проблему на своём компьютере да Страница проблемы Ссылка на клиента Ссылка на обращение в кэроте Подробное описание проблемы В разделе Письма не работает поиск по фио Такая опция указана.,back 
Нет статистики по письму Страница проблемы Ссылка на клиента Письмо находится в разделе открытых по вебхукам его не открывали В Разделе Ссылка на карточку в  есть инфа о том что его открыли Клиенту нужна статистика по нему.,back 
Проблема с часовым поясом У клиента написано что клиент открыл в А в статистике у нас на сайте в.,back 
Не передвигаются сделки Переписка с клиентом  Здравствуйте Николай У нас очень неприятный сбой в внутри  Наблюдали несколько раз разные сотрудники в течение месяца не разовая тема Сценарий создаешь письмо через  шлешь Ожидание лид перейдет в соседний статус как это прописано в настройках Реальность не переходит ни сразу ни через час приходится вручную тыкать Примеры причем вторая ссылка пермеещена ВРУЧНУЮ в следующий статус и далее должна в третий перескочить и снова мимо  Найти письма по сделкам разобраться почему нет передвижения.,back 
Уходят доп письма в выходные Страница на письмо Ссылка на шаблон Ссылка на клиента Подробное описание проблемы воронке в шаблоне НЕ СТОИТ галочка отправлть доп письма в выходные Доп письмо ушло.,back 
Зависает страница при повторной или й попытке отправить письмо из карточки в Клиент обратился с проблемой бесконечной загрузки при попытке отправить письмо повторно из карточки в  оттестировал на себе и аналогичная проблема Спасает только обновление страницы.,back 
Вечная загрузка при попытке отправить письмо Подробное описание проблемы При попытке отправить письмо через наш виджет в битрикс появляется вечная загрузка анимация прыгающих точек Скриншот проблемы Какие действия для решения проблемы производились Очистка кэша и жёсткая перезагрузка переустановка браузера тест в режиме Инкогнито Смогли ли мы воспроизвести проблему на своём компьютере Происходит только на аккаунте у других сотрудников проблема не наблюдается полагают что проблема в  Браузер и Операционная система  Ошибки в консоли       Карточка пользователя в админке Номер телефона.,back 
Не работает автоотправка Ссылка на проблему Ссылка на клиента Ссылка в Не работает автоотправка Настройки есть тел.,back 
Поправить контент Страница проблемы Подробное описание проблемы уведомления работают в браузере Надо добавить это в описание.,back 
Не работает движение по воронке не ставится задача  Клиент  Ссылка на проблему Ссылка на клиента Подробное описание проблемы Шаблон настроен на движение по воронке тригеры не работают Подключаласьтестировала И также не ставиться задача на открытие вложения Тел.,back 
Не работает движение по воронке не ставится задача  клиент Страница проблемы Ссылка на клиента Ссылка на обращение Подробное описание проблемы Шаблон настроен на движение по воронке тригеры не работают Подключаласьтестировала И также не ставиться задача на открытие вложения.,back 
КЛ не может войти в личный кабинет Страница проблемы Ссылка на клиента Ссылка на керот Браузер и Операционная система Ошибки в консоли          Подробное описание проблемы КЛ не может войти в личный кабинет страница постоянно грузиться и ничего не происходит  при попытке войти через виджет выдает ошибку.,back 
Не работает загрузка следующей порции данных на странице с логами автоотправки Как выглядит Ссылка Ошибка в консоли Думаю что не на корректную ссылку запрос идет с фронта Отгружать никому не нужно задача внутряковая.,back 
Баг с нет црм при регистрации Надо протестить момент когда при регистрации указываешь Нет црм то в какую воронку попадет сделка В Данном случае попала в Битрикс Есть еще пример но не могу найти его Сегодня переносил из воронки битрикса в воронку веб.,back 
Не отправляются СМС через обратный звонок и обратную связь Подробное описание проблемы В разделе Настройки вкладка Почта и подпись указан номер телефона формат через  без пробелов и дефисов на почту приходят все оповещения.,back 
однако в СМС ничего не приходит Смогли ли мы воспроизвести проблему на своём компьютере Да пользователь пожаловался на проблему У меня тоже она обнаружилась в процессе тестирования Карточка пользователя в админке Ссылка.,back 
на клиента в  Ссылка на обращение.,back 
Не отображается статистика ссылок вот тут еще показывает одно открытие хотя на момент просмотра статистики даже сообщение не прочитано в ватсапе было значит она не могла открыть ссылку Это изза того что отправляю в ватсап или вайбер и сам мессенджер просматривает ссылки Это не работает нигде вот как выглядит создание ссылок в амо .,back 
Не корректно отображается статистика по заданной дате Страница проблемы Ссылка на клиента Подробное описание проблемы При выборе пользователя и выборе периода за дней у клиента подгрузилась информация только за Я зашла в его аккаунт выбрала того же менеджера и дней у меня со попытки подгрузилась информация и за число Потом я выбрала по ней период дней статистика загрузилась только за Но если уменьшать размер страницы и прокручивать ее вниз инфа начинает подгружаться за все дни и при возврате на обычный размер остается Записала видео для наглядности Через минут проверяла снова все загрузилось сразу без уменьшения страницы.,back 
Не отображается меню авто перемещения Дмитрий Шатило При настройке шаблона клиента не отобразился блок с автоперемещением хотя интеграция прошла успешно клиент может отправлять письма и получить статистику и в аминке интеграция оттобразилась Так же у клиента выдает ошибку молния.,back 
Освободить почту для регистрации Ссылка на клиента Подробное описание проблемы нужно освободить почту для регистрации  раньше на нее регистрировались и изменили регистрацию почты на  а старая зарезервирована все равно.,back 
не работает статистика по вложениям в виджете.,back 
Не распечатывается документ Смогли ли мы воспроизвести проблему на своём компьютере да Страница проблемы Ссылка на клиента Ссылка на клиента в Подробное описание проблемы При попытке распечатать документ открывается белый лист бумаги.,back 
Нужно освободить почту для новой регистрации Необходимо освободить почту для регистрации нового пользователя в команду.,back 
Не правильное отображение меню выбора в личном кабинете Страница проблемы Ссылка на клиента У клиента в личном кабинете во вкладке письма меню выбора периода отображается так.,back 
Ошибка сервера в приложении Страница проблемы Ссылка на клиента Ссылка на клиента в Подробное описание проблемы Ошибка сервера приложения.,back 
Отсутствует раздел статистики в личном кабинете клиента отсутствует раздел статистики в лк единственный аккаунт в команде где имеет статус руководителя.,back 
Не работает передвижение по воронке в Битрикс Страница проблемы Ссылка на клиента Ссылка на шаблон Ссылка на шаблон Ссылка в Ссылка в Подробное описание проблемы Автоотправка настроена таким образом после нажатия в работу должно уходить письмо пишет что отправлено но письмо не приходит В админке показывает шаблона с одинаковым названием у него в шаблонах он один Достижение шага В работу.,back 
Не работает статистика по шаблонам Страница проблемы Ссылка на клиента Ссылка на клиента в ссылка в Подробное описание проблемы В разделе статистика не подгружается статистика по отправленным раннее шаблонам Сегодня начала отображаться инфа об отправленных сегодня шаблонах Ему необходима статистика по всем отправленным Также статистика по каждому шаблону индивидуально  отличается от информации здесь Сейчас проверить это нельзя инфы мало И на странице статистика не показывает что есть вложение в письме В отмеченных стрелкой шаблонах есть вложения проверила.,back 
Не ставится задача в Страница проблемы Ссылка на клиента Подробное описание проблемы В шаблоне настроено действие ставить задачу на открытие вложения сразу Задача в не приходит В админке тоже нет информации о поставленной задаче.,back 
Баг с отложенной отправкой Если начать Отправить в указанное время а затем это действие отменить то письмо все равно уйдет в то время которое было ранее назначено протестировано на этом.,back 
Не работают уведомления Подробное описание проблемы Не работают уведомления обратился клиент Не работают и у клиента и у меня и у Аллы При этом все уведомления полностью доступны и работают от других сайтов но не от нашего Страница проблемы Какие действия для решения проблемы производились Очистка кэша жёсткая перезагрузка повторная выдача права на уведомления Смогли ли мы воспроизвести проблему на своём компьютере Да Браузер и Операционная система  Карточка пользователя в админке Номер телефона и Ссылка на клиента в  Ссылка на обращение Срочность проблемы Похоже на массовую проблему.,back 
Не подключается почта Ссылка на клиента Почта на домене Настройки и порт или  не подходит Ирина.,back 
Не удаётся подключить уведомления Молния Подробное описание проблемы У нового пользователя во вкладке Настройки Уведомления Молния всё время предлагает авторизоваться в  хотя у него полноценно подключена Пробовали и в  и в.,back 
Страница проблемы Скриншот проблемы Какие действия для решения проблемы производились Произведена очистка кэша и жёсткая перезагрузка в обоих браузерах Полный выход и из  переустановка виджета и перезаход в аккаунт Очистка кэша и жёсткая перезагрузка на странице формы Браузер и Операционная система и  Карточка пользователя в админке Номер телефона и Ссылка на клиента в Срочность проблемы Клиент новый не хотелось бы затягивать с решением.,back 
Не дает сбросить пароль через Битрикс Смогли ли мы воспроизвести проблему на своём компьютере да Браузер и Операционная система не имеет значения Подробное описание проблемы При сбросе пароля через Б выдает ошибку неверный формат клиент сам почту не вносит она подставляется  после такая ошибка В битриксе открывается старый интерфейс.,back 
Автоотправка писем запланированная дата выставляется неправильно Страница письма Ссылка на клиента ссылка на сделку в амо ссылка на диалог в Браузер и Операционная система не имеет значения Подробное описание проблемы в виджете автооправки указана запланированная дата через день  по факту письма ставятся на.,back 
На маке в битриксе не работает авторизация Запрос на авторизацию проходит успешный ответ возвращает и вылаетает ошибка при обработке кажется Больше ошибок в приложении нет возможно просто игнорируется или еще что нибудь .,front
